parmseq,zOutcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, znos3 ,973,zLE8_TOTALSCOREinv,,0.21,0.00586503,27666,35.881805,1.00E-275,0.2,0.22,0.05,0.00003418,1,1.51E-274,1,1,274.9109
1, zepha1 ,484,zLE8_TOTALSCOREinv,,0.2,0.00549794,28411,35.790641,2.00E-274,0.19,0.21,0.05,0.00003418,1,2.34E-273,1,0,273.7133
1, zsult2a1 ,1312,zLE8_TOTALSCOREinv,,0.21,0.00589143,28258,35.792738,2.00E-274,0.2,0.22,0.05,0.00003418,1,2.34E-273,1,1,273.7125
1, zalpp ,51,zLE8_TOTALSCOREinv,,0.21,0.0058562,28196,35.631688,5.00E-272,0.2,0.22,0.05,0.00003418,1,5.90E-271,1,1,271.3078
1, zmfge8 ,903,zLE8_TOTALSCOREinv,,0.21,0.00590881,28335,35.539631,1.00E-270,0.2,0.22,0.05,0.00003418,1,1.26E-269,1,1,269.9736
1, ztnfrsf10a ,1367,zLE8_TOTALSCOREinv,,0.2,0.00575285,28096,35.429526,5.00E-269,0.19,0.22,0.05,0.00003418,1,5.92E-268,1,1,268.2992
1, znpy ,983,zLE8_TOTALSCOREinv,,0.21,0.00590381,28543,35.407458,9.00E-269,0.2,0.22,0.05,0.00003418,1,1.01E-267,1,1,268.0639
1, zsmoc1 ,1262,zLE8_TOTALSCOREinv,,0.2,0.00571695,28543,35.404994,9.00E-269,0.19,0.21,0.05,0.00003418,1,1.09E-267,1,1,268.0276
1, zmme ,912,zLE8_TOTALSCOREinv,,0.21,0.0058638,28196,35.350471,7.00E-268,0.2,0.22,0.05,0.00003418,1,8.06E-267,1,1,267.1553
1, zca5a ,152,zLE8_TOTALSCOREinv,,0.21,0.00584023,27812,35.271566,1.00E-266,0.19,0.22,0.05,0.00003418,1,1.38E-265,1,1,265.9178
1, zigf2r ,684,zLE8_TOTALSCOREinv,,0.21,0.0059002,28335,35.247031,2.00E-266,0.2,0.22,0.05,0.00003418,1,2.46E-265,1,1,265.663
1, zefna4 ,463,zLE8_TOTALSCOREinv,,0.2,0.00579756,28057,35.113976,2.00E-264,0.19,0.21,0.05,0.00003418,1,2.47E-263,1,1,263.659
1, zmvk ,936,zLE8_TOTALSCOREinv,,0.21,0.0059317,27806,35.066364,1.00E-263,0.2,0.22,0.05,0.00003418,1,1.36E-262,1,1,262.9135
1, zcd4 ,228,zLE8_TOTALSCOREinv,,0.21,0.0058927,28210,35.031813,3.00E-263,0.19,0.22,0.05,0.00003418,1,3.59E-262,1,1,262.489
1, zil10rb ,698,zLE8_TOTALSCOREinv,,0.2,0.0057923,28445,34.854687,1.00E-260,0.19,0.21,0.05,0.00003418,1,1.22E-259,1,1,259.9549
1, zpltp ,1068,zLE8_TOTALSCOREinv,,-0.2,0.00576204,28592,-34.832471,2.00E-260,-0.21,-0.19,0.05,0.00003418,1,2.39E-259,1,1,259.6595
